"","venue_state","venue_city","total_tickets_purchased"
"1","ILLINOIS","CHICAGO",7670
"2","NEW YORK","FLUSHING",6419
"3","CALIFORNIA","PASADENA",4877
"4","MARYLAND","BALTIMORE",4216
"5","ONTARIO","TORONTO",4130
"6","CALIFORNIA","SAN DIEGO",4124
"7","WASHINGTON","SEATTLE",4052
"8","TEXAS","HOUSTON",3966
"9","CALIFORNIA","SANTA CLARA",3885
"10","TEXAS","ARLINGTON",3692
"11","MASSACHUSETTS","FOXBOROUGH",3645
"12","FLORIDA","TAMPA",3507
"13","GEORGIA","ATLANTA",3469
"14","FLORIDA","MIAMI",3231
"15","TENNESSEE","NASHVILLE",3225
"16","MINNESOTA","MINNEAPOLIS",3171
"17","ALBERTA","EDMONTON",3109
"18","PENNSYLVANIA","PITTSBURGH",2897
